a-vorto; adjective
sakristio; sacristy
sakro; obscenity, bad language, curse, expletive, profanity, sacrum
saksa; Saxon
saksifragacoj; saxifrage
sakso; Saxon <g>pers</g>
saksofonisto; saxophonist
saksofono; saxophone
sakstrato; dead-end street
sakŝalmo; pipe, bagpipes
sala; salt, salty
salajri; pay a salary, employ
salajro; stipend, paycheck, wages, salary, wage, pay
salajrulo; employee, wage-earner <g>pers</g>, salaried person
salamo; salami
salato; salad
saldi; strike a balance, balance
saldo; balance
saleca; salty
salgusta; salty
sali; salt
saliko; willow
salikoko; prawn, shrimp
salimposto; salt duty
salivi; salivate
salivo; saliva, spittle
salivtuko; bib
salivumi; dribble, salivate, drool, slobber
salmo; salmon
salo; salt
salomono; Solomon, Salomon <g>pers</g>
salonego; hall
salono; parlour, lounge, salon, room, sitting room
saltadi; bounce
saltegi; leap
saltego; leap, bound
saltetadi; skip
salteti; skip, hop
salteto; hop
salti; jump, spring <f>{past sprang} {perf sprung}</f>, leap <f>{past leaped} {perf leaped}</f>
salto; jump, leap, spring
saltotabulo; springboard, diving board
salutadministrilo; login manager
salutado; salutation, greeting
saluti; greet, salute
salutilo; login manager
salutinformo; authentication
salutnomo; login name, username
saluto; login, hail, greeting, salutation, salute
salutonomo; login
salutprogramo; login manager
salutvorto; username
salutŝildo; splash screen
salvio; sage <g>pers</g>
salvo; salvo, fusillade, volley
sama; same
samarea; same-area, of the same area
samaria; Samaritan
samario; Samaria, samarium
samaĝa; of the same age
samaĝulo; person of the same age, peer
samcentra; concentric
same; ditto, likewise, equally
samebena; coplanar
sameco; uniformity
samgrada; of equal extent, of equal degree
samideano; fellow-thinker, fellow Esperantist, esperantist
samizdato; Samizdat
samklasano; classmate
samlandano; compatriot <g>pers</g>
samlernejano; schoolmate
samloka; local
sammaniere; likewise, in same way
sammomenta; simultaneous
sammomente; simultaneously
samnomulo; namesake <g>pers</g>
samokaze; at the same time
samoo; Samoa
samopinii; concur, agree
samovaro; samovar
sampensa; compatible
sampova; equipotent
samprofesiano; colleague <g>pers</g>
samranga; of equal rank, on the same level, fellow
samrangulo; fellow
samrekta; collinear
samseksa; of the same sex
samseksama; homosexual
samseksema; homosexual
samseksemulo; homosexual <g>pers</g>
samsenca; having the same sense, equivalent
samsencaĵo; synonym
samsigna; same-sign, of the same sign
samspeca; similar
samstatano; equal
samteamano; teammate <g>pers</g>
samtema; related
samtempa; concurrent, synchronous, synchronized, contemporary, simultaneous
samtempano; contemporary
samtempe; at the same time as, concurrently, at the same time, at a time, simultaneously
samtempi; concur
samtempulo; contemporary <g>pers</g>
samulo; fellow, peer
samurajo; samurai
samvolumena; of the same volume
sana; healthy, well
sanatorio; sanatorium
sandalo; sandal
sandviĉo; sandwich
saneco; hygiene, health
sanga; bloody
sangadi; bleed
sangado; bleeding
sangadulto; adultery, incest
sangalfluo; rush, congestion
sangavida; bloodthirsty
sangellaso; blood-letting, bleeding
sangeltiro; bloodletting
sangi; bleed <f>{past bled} {perf bled}</f>
sangkolbaso; black pudding, blood sausage
sango; blood
sangocirkulado; bloodstream, blood circulation
sangokolbaso; black pudding, blood sausage
sangopremo; blood pressure
sangoruĝa; blood-red, blood red, sanguine
sangoverŝado; bloodbath
sangoverŝo; bloodshed, bloodletting
sangoĉelo; blood cell
sangvina; sanguine
sani; be well
saniga; healing, healthy, wholesome, salubrious
sanigado; hygiene
sanigi; remedy, cure, heal, make well
sanigo; healthcare
sanilo; cure, medicine, remedy
sanitara; concerning health, sanitary
saniĝi; get well, return to health
sankcii; sanction, authorise, permit, authorize
sankcio; punishment, sanction
sankta; holy, saint, sacred, Holy Week, Santa, hallowed
sanktamanĝo; Last Supper
sanktaskribo; Holy Scripture, Holy Writ, Scripture
sanktaspirito; Holy Ghost, Holy Spirit
sankteco; holiness, sanctity
sanktejo; sanctuary, shrine
sanktigi; sanctify
sanktiĝi; sanctify
sanktoleado; anointing, adm.of the last sacraments
sanktolei; administer the last sacrament, anoint
sanktulino; saint
sanktulo; saint
sano; health
sanskrito; Sanskrit
sanstato; shape, state of health
sanulo; healthy person
sapei; sap, undermine
sapeo; sap
sapo; soap
sapumi; soap
sardelo; sardine, anchovy
sardino; sardine, pilchard
sardona; sarcastic, sardonic
sario; sari
sarkado; weeding
sarkasma; sardonic, sarcastic
sarkasmo; sarcasm
sarki; weed, weed out
sarkilo; hoe, weeder <g>pers</g>, weeding tool
sarkindaĵo; garbage, rubbish, refuse, waste
sarkofago; sarcophagus
sarlando; Saarland
sata; replete, full, satisfied
satana; Satanic
satano; Satan, Lucifer
satdormi; have one's sleep out, sleep one's fill
sate; full
satego; surfeit, glut
satelito; satellite
sateno; satin
sati; be full, have enough
satigi; satiate, fill
satiro; satire
satiĝi; satiate
sato; satiety
satplori; have a good cry, have one's cry out
satrapo; satrap
satureco; saturation
saturi; pack, saturate
saturno; Saturn
saudaarabujo; Saudi Arabia
sava; saved
savado; rescue
savano; savanna
savanto; saviour
savarmeo; Salvation Army
savboato; lifeboat
save; safely
savebla; saveable, salvageable
savi; rescue, keep <f>{past kept} {perf kept}</f>, save, salvage
savinto; saviour
saviĝi; be preserved, be saved, rescue
saviĝo; salvation, deliverance
savklapo; pop-off valve, safety valve
savkopio; back up copy
savo; rescue, salvage, salvation, recovery
savonto; saviour
savzono; lifebelt, safety-belt
saŭco; gravy, sauce
saŭno; sauna
saŭrkraŭto; sauerkraut
saĝa; wise, sagacious, sage
saĝe; knowingly
saĝeco; wisdom
saĝo; wisdom, sense
saĝulo; sage
saĝumi; act wise, show off, split hairs
saĥaleno; Sakhalin, Saghalien
scenaristo; scenarist <g>pers</g>, scriptwriter <g>pers</g>, writer
scenaro; script, screenplay, scenario
scenejo; scene, stage
sceno; scene
sceptro; scepter, sceptre
sciado; knowledge
sciata; known
sciavida; inquisitive
sciavido; curiosity
sciaĵo; knowledge
sciema; curious
scienca; scientific, scholarly
science; scientifically
sciencfikcio; science fiction
sciencisto; scientist <g>pers</g>
scienco; science
scienculo; scholar <g>pers</g>
scii; know how, know <f>{past knew} {perf know}</f>
sciigi; intimate, let know, inform, notify, disclose
sciigo; disclosure, communication, announcement, report, notice, news, notification
sciinda; interesting, worth knowing
sciiĝi; hear <f>{past heard} {perf heard}</f>, learn of, find out, perceive
sciiĝo; perception, cognition
scio; knowledge
scipova; clever
scipovi; know how, know
scipovo; knowledge, proficiency
sciuro; squirrel
scivola; inquisitive, curious
scivole; inquisitively
scivoleco; curiosity
scivolema; inquisitive
scivoleme; inquisitively
scivolemo; curiosity
scivoli; wonder, want to know
scivolo; curiosity
se; provided that, if and only if, if, iff
seaborgio; seaborgium
seancadministrilo; session manager
seanco; session, performance
sebo; suet, tallow, grease
seborgio; seaborgium
secesio; separation, breakaway, secession
sed; but
sedativo; sedative
sedimento; sediment, deposit
segi; see, saw <f>{past sawed} {perf sawed}</f>
segilo; saw
segmento; segment
seka; dry
sekalo; rye
sekcanto; secant
sekci; dissect
sekcia; divisional
sekciestro; head of department, manager
sekcio; section
sekeco; dryness
sekega; arid
sekigi; dry
sekigtuko; tea towel
sekiĝi; dry
sekrecii; secrete
sekrecio; secretion
sekreta; secret, clandestine, classified, covert, undisclosed
sekretaria; secretarial
sekretariato; secretariat
sekretariejo; secretariat
sekretariino; secretary <g>pers</g>
sekretario; secretary <g>pers</g>
sekrete; covertly, under cover, secretly
sekreteco; secrecy
sekretego; top secret
sekreto; secret
sekretŝlosilo; secret key
seksa; generative, sexual
seksalloga; sexy
seksardo; sexual desire, heat
seksatenci; molest
sekse; sexually
sekseco; sexuality
seksilo; sex organ
sekskuniĝi; have sexual intercourse, mate
sekskuniĝo; copulation, sex
seksmatura; sexually mature
sekso; sex, gender
seksperforti; rape
sekstanto; sextant
seksumado; sex
seksumi; have sex
sektano; member of a sect
sektisma; sectarian
sekto; sect, cult
sektoro; sector
sekulara; mundane, secular
sekularigi; secularize
sekundanto; second
sekundara; secondary
sekundo; second
sekura; safe, sure, secure
sekure; safely
sekurecklaso; security class
sekureco; security, safety
sekurecrisko; security risk
sekurigagordo; backup profile
sekurigeraro; backup error
sekurigi; make safe, secure, safeguard
sekurigo; security
sekurkopio; backup
sekurrimeno; seat belt, safety belt
sekurzono; safety belt, seat belt
sekurŝelo; secure shell
sekva; next, consequent
sekvadi; pursue
sekvanta; following, next
sekvantaro; following, party, followers <g>pers</g>, adherents <g>pers</g>, supporters <g>pers</g>
sekvanto; adherent
sekvaĵo; consequence
sekve; therefore, so, thus, subsequently, consequently, accordingly
sekvenco; sequence
sekvestrado; sequestration, sequestering
sekvestri; sequester, seize
sekvi; trail, follow
sekvigi; entail
sekvinbero; raisin
sekvo; consequence, sequela, aftermath
sekvojo; sequoia
sekvonta; next
selakto; whey
selektado; selection
selekti; pick
seleno; selenium
seli; saddle
selo; saddle
sema; seminal
semado; sowing
semaforo; signal, semaphore, stop-light
semajna; weekly
semajne; weekly
semajnfino; weekend, week-end
semajngazeto; weekly
semajno; week
semajntago; weekday
semajnĵurnalo; weekly
semantika; semantic
semantiko; semantics
semaĵo; seed
semestra; semiannual
semestro; semester
semi; sow <f>{past sowed} {perf sowed}</f>
semida; Semitic
seminario; seminar, tutorial
semo; semen, seed
semotaŭga; arable
sen; without <g>{N A}</g>
senaera; stuffy
senafekta; unaffected, simple, earthy
senafekte; simply
senagado; inaction, stasis
senage; passively
senakcenta; unstressed, unaccented
senaktiveco; inactivity
senakva; arid
senakvigi; dehydrate
senalkohola; non-alcoholic
senamika; friendless
senantaŭjuĝa; free of prejudice
senarba; treeless
senarbigi; clear, deforest
senarma; unarmed
senarmigi; disarm
senarta; tacky
senartifika; honest
senartifike; frankly
senatano; senator
senatenta; negligent, careless, heedless, inattentive
senatente; carelessly, heedless
senato; senate
senaverte; unawares
senbalastigi; release ballast
senbara; open, unfettered
senbarba; beardless, clean-shaven
senbaza; baseless, unfounded, groundless
senbedaŭre; unashamedly
senbezona; unnecessary, needless
senbrida; uncontrolled, uninhibited, unrestrained, unchecked, rampant, wild, riotous, lawless, licentious
senbride; unconfined
senbridigi; unleash
senbrila; matte
senbriliĝi; fade
senbrua; noiseless
sencela; pointless, purposeless, random, aimless
sencele; randomly
sencerba; brainless
sencerbulo; noodle, imbecile <g>pers</g>, empty-headed, scatter-brained, brainless
senceremonia; unceremonious, casual
senceremonie; casually
sencimigi; debug
senco; meaning, sense
sendado; sending, dispatch
sendanka; ungrateful, unsung, thankless
sendanto; sender
sendanĝera; benign, safe, harmless
sendanĝerapinglo; safety-pin
sendanĝere; safely
sendanĝereco; safety
sendanĝerigi; neutralise
sendaŭra; fleeting
sendaĵo; package, item of mail
sendecida; indecisive, hesitant
sendefenda; defenseless, defenceless
sendeficita; balanced
sendenta; toothless
sendependa; linearly independent, independent
sendepende; independently
sendependeco; independence
sendependiĝo; independence, decolonisation
sendi; transmit, send <f>{past sent} {perf sent}</f>
sendia; godless
sendifekta; intact, flawless
sendifekte; safely
sendiference; indistinctly
sendifina; indefinite
sendigi; dispatch
sendinto; sender
sendirekta; disabled
sendisciplina; undisciplined, unruly
sendisciplineco; indiscipline
sendistinge; indiscriminately, regardless, without distinction
senditaro; embassy
senditaĵo; message
sendito; messenger <g>pers</g>, emissary <g>pers</g>, envoy <g>pers</g>, ambassador <g>pers</g>, bearer, representative
sendiulo; atheist
sendiverĝenca; zero-divergence
sendiĝi; send
sendo; sending, dispatch
sendolora; painless
sendoloriga; analgesic
sendorma; sleepless
sendormeco; sleeplessness
sendrata; wireless
senduba; definite, undoubted, unmistakable
sendube; must, doubtless, definitely, without a doubt, beyond a doubt, surely, no doubt, undoubtedly
senedza; unmarried
senedzeco; celibacy
senefika; inoperable, ineffectual, toothless, ineffective, to no avail
senefike; uselessly
senegala; peerless, champion, unequalled, unique
senegalo; Senegal
senelirejo; impasse
senemocia; calm
senemocie; calmly
senenergia; listless
senenhava; empty, hollow, vacant
senerara; free of errors, correct
senerare; correctly
senescepta; free of exceptions, exclusive
senescepte; exclusively
senespera; abysmal, desperate, hopeless
senespere; hopelessly, despairingly
senesperiga; hopeless
senesperige; hopelessly
senesperigi; disappoint
senesperiĝi; despair
senesprima; flat
senesprime; flatly
senfara; idle
senfeligi; strip, skin, flay
senfenestra; windowless
senfina; unending, endless, everlasting, indefinite
senfine; endlessly, continually, endless, indefinitely
senfineco; infinity
senforma; amorphous
senforta; effete, powerless, feeble
senfortigi; overwhelm
senfortiĝi; overwhelm
senfortulo; weakling
senfrukta; fruitless, barren
sengracia; graceless
sengusta; tasteless
senhalta; continuous, express
senhalte; at a stretch, for ... together, on end, continuously
senhara; hairless, bald
senhava; distressed, poor, miserable, needy
senhaveco; indigence, need, distress, penury, destitution, poverty
senhavigi; deprive ... of, deprive, impoverish
senhaviĝi; become destitute, lose everything, impoverish
senhavulo; poor person, indigent, poor, pauper <g>pers</g>, poor man <g>pers</g>
senhaŭtigi; skin
senhejma; homeless
senhejmeco; homelessness
senhejmigi; uproot
senhejmulo; vagabond, homeless person <g>pers</g>
senhelpa; helpless, hopeless
senhelpe; unaided, alone
senhelpeco; distress
senheredigi; write out of one's will, disown, write out of one's will, disinherit, write out of ones will
senhezite; readily, without hesitation
senhoma; gaunt, empty
senhomejo; emptiness
senhonorigi; dishonour, degrade
senhonta; shameless, abandoned, gross, rank
senhonte; blatantly, with abandon, unashamedly
senigi; deprive ... of, deprive, cost, denude, divest
senigo; deprivation
seniluziiga; disappointing
seniluziige; disillusioning
seniluziigi; disillusion, set straight, disappoint
seniluziiĝi; become disillusioned, disillusion
seniluziiĝo; disillusionment, disappointment
senimposta; tax-free, duty-free, tax free, duty free
senindulga; merciless, ruthless
seninfana; childless
seninfektigi; sterilise
seninflua; without influence
senintenca; unintentional, involuntary
senintence; by accidence, accidentally
seninteresa; mundane
senintermanka; steady
seninterrompa; uninterrupted, uninterruptible, continuous
seninterrompe; ceaselessly, on end, at a stretch, continuously
seniĝi; lose
senkapa; headless
senkapabla; incapable
senkapigi; decapitate, behead
senkatenigi; unchain, unshackle, free, release
senkaŝa; flagrant, unconcealed, explicit
senkaŝe; openly, in no uncertain terms
senkaŭza; groundless, unfounded
senkernigi; stone
senkolora; drab, colourless
